     Steps      Time  Center temperature
         265      212.00   25.300002
         266      212.80   25.320002
         267      213.60   25.340002
         268      214.40   25.360002
         269      215.20   25.380002
         270      216.00   25.400002
         271      216.80   25.420002
         272      217.60   25.440002
         273      218.40   25.460003
         274      219.20   25.480003
         275      220.00   25.500003
         276      220.80   25.520003
         277      221.60   25.540003
         278      222.40   25.560003
         279      223.20   25.580004
         280      224.00   25.600004
         281      224.80   25.620004
         282      225.60   25.640004
         283      226.40   25.660004
         284      227.20   25.680005
         285      228.00   25.700005
         286      228.80   25.720005
         287      229.60   25.740005
         288      230.40   25.760006
         289      231.20   25.780006
         290      232.00   25.800006
         291      232.80   25.820006
         292      233.60   25.840007
         293      234.40   25.860007
         294      235.20   25.880007
         295      236.00   25.900008
         296      236.80   25.920008
         297      237.60   25.940008
         298      238.40   25.960009
         299      239.20   25.980009
         300      240.00   26.000010
         301      240.80   26.020010
         302      241.60   26.040011
         303      242.40   26.060011
         304      243.20   26.080012
         305      244.00   26.100012
         306      244.80   26.120013
         307      245.60   26.140013
         308      246.40   26.160014
         309      247.20   26.180014
         310      248.00   26.200015
         311      248.80   26.220015
         312      249.60   26.240016
         313      250.40   26.260017
         314      251.20   26.280017
         315      252.00   26.300018
         316      252.80   26.320019
         317      253.60   26.340020
         318      254.40   26.360020
         319      255.20   26.380021
         320      256.00   26.400022
         321      256.80   26.420023
         322      257.60   26.440024
         323      258.40   26.460025
         324      259.20   26.480026
         325      260.00   26.500027
         326      260.80   26.520028
         327      261.60   26.540029
         328      262.40   26.560030
         329      263.20   26.580031
         330      264.00   26.600032
         331      264.80   26.620033
         332      265.60   26.640034
         333      266.40   26.660035
         334      267.20   26.680037
         335      268.00   26.700038
         336      268.80   26.720039
         337      269.60   26.740041
         338      270.40   26.760042
         339      271.20   26.780044
         340      272.00   26.800045
         341      272.80   26.820047
         342      273.60   26.840048
         343      274.40   26.860050
         344      275.20   26.880052
         345      276.00   26.900053
         346      276.80   26.920055
         347      277.60   26.940057
         348      278.40   26.960059
         349      279.20   26.980061
         350      280.00   27.000063
         351      280.80   27.020065
         352      281.60   27.040067
         353      282.40   27.060069
         354      283.20   27.080072
         355      284.00   27.100074
         356      284.80   27.120076
         357      285.60   27.140079
         358      286.40   27.160081
         359      287.20   27.180084
         360      288.00   27.200086
         361      288.80   27.220089
         362      289.60   27.240092
         363      290.40   27.260094
         364      291.20   27.280097
         365      292.00   27.300100
         366      292.80   27.320103
         367      293.60   27.340106
         368      294.40   27.360109
         369      295.20   27.380113
         370      296.00   27.400116
         371      296.80   27.420119
         372      297.60   27.440123
         373      298.40   27.460126
         374      299.20   27.480130
         375      300.00   27.500134
         376      300.80   27.520137
         377      301.60   27.540141
         378      302.40   27.560145
         379      303.20   27.580149
         380      304.00   27.600153
         381      304.80   27.620157
         382      305.60   27.640162
         383      306.40   27.660166
         384      307.20   27.680171
         385      308.00   27.700175
         386      308.80   27.720180
         387      309.60   27.740185
         388      310.40   27.760190
         389      311.20   27.780195
         390      312.00   27.800200
         391      312.80   27.820205
         392      313.60   27.840210
         393      314.40   27.860216
         394      315.20   27.880221
         395      316.00   27.900227
         396      316.80   27.920232
         397      317.60   27.940238
         398      318.40   27.960244
         399      319.20   27.980250
         400      320.00   28.000257
         401      320.80   28.020263
         402      321.60   28.040269
         403      322.40   28.060276
         404      323.20   28.080283
         405      324.00   28.100290
         406      324.80   28.120297
         407      325.60   28.140304
         408      326.40   28.160311
         409      327.20   28.180319
         410      328.00   28.200326
         411      328.80   28.220334
         412      329.60   28.240342
         413      330.40   28.260350
         414      331.20   28.280358
         415      332.00   28.300366
         416      332.80   28.320374
         417      333.60   28.340383
         418      334.40   28.360392
         419      335.20   28.380401
         420      336.00   28.400410
         421      336.80   28.420419
         422      337.60   28.440429
         423      338.40   28.460438
         424      339.20   28.480448
         425      340.00   28.500458
         426      340.80   28.520468
         427      341.60   28.540478
         428      342.40   28.560489
         429      343.20   28.580499
         430      344.00   28.600510
         431      344.80   28.620521
         432      345.60   28.640532
         433      346.40   28.660544
         434      347.20   28.680555
         435      348.00   28.700567
         436      348.80   28.720579
         437      349.60   28.740591
         438      350.40   28.760604
         439      351.20   28.780616
         440      352.00   28.800629
         441      352.80   28.820642
         442      353.60   28.840655
         443      354.40   28.860669
         444      355.20   28.880683
         445      356.00   28.900696
         446      356.80   28.920711
         447      357.60   28.940725
         448      358.40   28.960739
         449      359.20   28.980754
         450      360.00   29.000769
         451      360.80   29.020785
         452      361.60   29.040800
         453      362.40   29.060816
         454      363.20   29.080832
         455      364.00   29.100848
         456      364.80   29.120865
         457      365.60   29.140881
         458      366.40   29.160898
         459      367.20   29.180916
         460      368.00   29.200933
         461      368.80   29.220951
         462      369.60   29.240969
         463      370.40   29.260987
         464      371.20   29.281006
         465      372.00   29.301025
         466      372.80   29.321044
         467      373.60   29.341063
         468      374.40   29.361083
         469      375.20   29.381103
         470      376.00   29.401123
         471      376.80   29.421144
         472      377.60   29.441165
         473      378.40   29.461186
         474      379.20   29.481208
         475      380.00   29.501229
         476      380.80   29.521251
         477      381.60   29.541274
         478      382.40   29.561297
         479      383.20   29.581320
         480      384.00   29.601343
         481      384.80   29.621367
         482      385.60   29.641391
         483      386.40   29.661415
         484      387.20   29.681440
         485      388.00   29.701465
         486      388.80   29.721490
         487      389.60   29.741516
         488      390.40   29.761542
         489      391.20   29.781568
         490      392.00   29.801595
         491      392.80   29.821622
         492      393.60   29.841649
         493      394.40   29.861677
         494      395.20   29.881705
         495      396.00   29.901734
         496      396.80   29.921763
         497      397.60   29.941792
         498      398.40   29.961821
         499      399.20   29.981851
         500      400.00   30.001882
         501      400.80   30.021913
         502      401.60   30.041944
         503      402.40   30.061975
         504      403.20   30.082007
         505      404.00   30.102040
         506      404.80   30.122072
         507      405.60   30.142105
         508      406.40   30.162139
         509      407.20   30.182173
         510      408.00   30.202207
         511      408.80   30.222242
         512      409.60   30.242277
         513      410.40   30.262313
         514      411.20   30.282349
         515      412.00   30.302386
         516      412.80   30.322423
         517      413.60   30.342460
         518      414.40   30.362498
         519      415.20   30.382536
         520      416.00   30.402575
         521      416.80   30.422614
         522      417.60   30.442654
         523      418.40   30.462694
         524      419.20   30.482734
         525      420.00   30.502775
         526      420.80   30.522817
         527      421.60   30.542859
         528      422.40   30.562901
         529      423.20   30.582944
         530      424.00   30.602988
         531      424.80   30.623031
         532      425.60   30.643076
         533      426.40   30.663121
         534      427.20   30.683166
         535      428.00   30.703212
         536      428.80   30.723258
         537      429.60   30.743305
         538      430.40   30.763353
         539      431.20   30.783401
         540      432.00   30.803449
         541      432.80   30.823498
         542      433.60   30.843547
         543      434.40   30.863597
         544      435.20   30.883648
         545      436.00   30.903699
         546      436.80   30.923751
         547      437.60   30.943803
         548      438.40   30.963855
         549      439.20   30.983909
         550      440.00   31.003962
         551      440.80   31.024017
         552      441.60   31.044072
         553      442.40   31.064127
         554      443.20   31.084183
         555      444.00   31.104240
         556      444.80   31.124297
         557      445.60   31.144355
         558      446.40   31.164413
         559      447.20   31.184472
         560      448.00   31.204532
         561      448.80   31.224592
         562      449.60   31.244653
         563      450.40   31.264714
         564      451.20   31.284776
         565      452.00   31.304838
         566      452.80   31.324902
         567      453.60   31.344965
         568      454.40   31.365030
         569      455.20   31.385095
         570      456.00   31.405160
         571      456.80   31.425227
         572      457.60   31.445294
         573      458.40   31.465361
         574      459.20   31.485429
         575      460.00   31.505498
         576      460.80   31.525568
         577      461.60   31.545638
         578      462.40   31.565709
         579      463.20   31.585780
         580      464.00   31.605852
         581      464.80   31.625925
         582      465.60   31.645998
         583      466.40   31.666072
         584      467.20   31.686147
         585      468.00   31.706223
         586      468.80   31.726299
         587      469.60   31.746376
         588      470.40   31.766453
         589      471.20   31.786531
         590      472.00   31.806610
         591      472.80   31.826690
         592      473.60   31.846770
         593      474.40   31.866851
         594      475.20   31.886933
         595      476.00   31.907016
         596      476.80   31.927099
         597      477.60   31.947183
         598      478.40   31.967267
         599      479.20   31.987352
         600      480.00   32.007438
         601      480.80   32.027525
         602      481.60   32.047613
         603      482.40   32.067701
         604      483.20   32.087790
         605      484.00   32.107880
         606      484.80   32.127970
         607      485.60   32.148061
         608      486.40   32.168153
         609      487.20   32.188246
         610      488.00   32.208340
         611      488.80   32.228434
         612      489.60   32.248529
         613      490.40   32.268625
         614      491.20   32.288722
         615      492.00   32.308819
         616      492.80   32.328917
         617      493.60   32.349017
         618      494.40   32.369116
         619      495.20   32.389217
         620      496.00   32.409319
         621      496.80   32.429421
         622      497.60   32.449524
         623      498.40   32.469628
         624      499.20   32.489733
         625      500.00   32.509838
         626      500.80   32.529945
         627      501.60   32.550052
         628      502.40   32.570160
         629      503.20   32.590269
         630      504.00   32.610379
         631      504.80   32.630489
         632      505.60   32.650601
         633      506.40   32.670713
         634      507.20   32.690826
         635      508.00   32.710940
         636      508.80   32.731055
         637      509.60   32.751171
         638      510.40   32.771288
         639      511.20   32.791405
         640      512.00   32.811523
         641      512.80   32.831643
         642      513.60   32.851763
         643      514.40   32.871884
         644      515.20   32.892006
         645      516.00   32.912129
         646      516.80   32.932252
         647      517.60   32.952377
         648      518.40   32.972503
         649      519.20   32.992629
         650      520.00   33.012757
         651      520.80   33.032885
         652      521.60   33.053014
         653      522.40   33.073144
         654      523.20   33.093275
         655      524.00   33.113407
         656      524.80   33.133540
         657      525.60   33.153674
         658      526.40   33.173809
         659      527.20   33.193945
         660      528.00   33.214081
         661      528.80   33.234219
         662      529.60   33.254358
         663      530.40   33.274497
         664      531.20   33.294638
         665      532.00   33.314779
         666      532.80   33.334922
         667      533.60   33.355065
         668      534.40   33.375210
         669      535.20   33.395355
         670      536.00   33.415502
         671      536.80   33.435649
         672      537.60   33.455797
         673      538.40   33.475947
         674      539.20   33.496097
         675      540.00   33.516248
         676      540.80   33.536401
         677      541.60   33.556554
         678      542.40   33.576708
         679      543.20   33.596864
         680      544.00   33.617020
         681      544.80   33.637178
         682      545.60   33.657336
         683      546.40   33.677496
         684      547.20   33.697656
         685      548.00   33.717818
         686      548.80   33.737980
         687      549.60   33.758144
         688      550.40   33.778308
         689      551.20   33.798474
         690      552.00   33.818641
         691      552.80   33.838808
         692      553.60   33.858977
         693      554.40   33.879147
         694      555.20   33.899318
         695      556.00   33.919490
         696      556.80   33.939663
         697      557.60   33.959837
         698      558.40   33.980013
         699      559.20   34.000189
         700      560.00   34.020366
         701      560.80   34.040545
         702      561.60   34.060724
         703      562.40   34.080905
         704      563.20   34.101086
         705      564.00   34.121269
         706      564.80   34.141453
         707      565.60   34.161638
         708      566.40   34.181824
         709      567.20   34.202011
         710      568.00   34.222200
         711      568.80   34.242389
         712      569.60   34.262580
         713      570.40   34.282771
         714      571.20   34.302964
         715      572.00   34.323158
         716      572.80   34.343353
         717      573.60   34.363549
         718      574.40   34.383747
         719      575.20   34.403945
         720      576.00   34.424145
         721      576.80   34.444345
         722      577.60   34.464547
         723      578.40   34.484750
         724      579.20   34.504954
         725      580.00   34.525160
         726      580.80   34.545366
         727      581.60   34.565574
         728      582.40   34.585782
         729      583.20   34.605992
         730      584.00   34.626203
         731      584.80   34.646416
         732      585.60   34.666629
         733      586.40   34.686844
         734      587.20   34.707060
         735      588.00   34.727277
         736      588.80   34.747495
         737      589.60   34.767714
         738      590.40   34.787935
         739      591.20   34.808156
         740      592.00   34.828379
         741      592.80   34.848603
         742      593.60   34.868829
         743      594.40   34.889055
         744      595.20   34.909283
         745      596.00   34.929512
         746      596.80   34.949742
         747      597.60   34.969973
         748      598.40   34.990206
         749      599.20   35.010440
         750      600.00   35.030675
         751      600.80   35.050911
         752      601.60   35.071148
         753      602.40   35.091387
         754      603.20   35.111627
         755      604.00   35.131868
         756      604.80   35.152110
         757      605.60   35.172354
         758      606.40   35.192599
         759      607.20   35.212845
         760      608.00   35.233092
         761      608.80   35.253341
         762      609.60   35.273591
         763      610.40   35.293842
         764      611.20   35.314094
         765      612.00   35.334348
         766      612.80   35.354603
         767      613.60   35.374859
         768      614.40   35.395116
         769      615.20   35.415375
         770      616.00   35.435635
         771      616.80   35.455896
         772      617.60   35.476159
         773      618.40   35.496422
         774      619.20   35.516687
         775      620.00   35.536954
         776      620.80   35.557221
         777      621.60   35.577490
         778      622.40   35.597760
         779      623.20   35.618032
         780      624.00   35.638305
         781      624.80   35.658579
         782      625.60   35.678854
         783      626.40   35.699131
         784      627.20   35.719409
         785      628.00   35.739688
         786      628.80   35.759968
         787      629.60   35.780250
         788      630.40   35.800533
         789      631.20   35.820818
         790      632.00   35.841104
         791      632.80   35.861391
         792      633.60   35.881679
         793      634.40   35.901969
         794      635.20   35.922260
         795      636.00   35.942553
         796      636.80   35.962846
         797      637.60   35.983141
         798      638.40   36.003438
         799      639.20   36.023735
         800      640.00   36.044034
         801      640.80   36.064335
         802      641.60   36.084637
         803      642.40   36.104940
         804      643.20   36.125244
         805      644.00   36.145550
         806      644.80   36.165857
         807      645.60   36.186165
         808      646.40   36.206475
         809      647.20   36.226786
         810      648.00   36.247099
         811      648.80   36.267413
         812      649.60   36.287728
         813      650.40   36.308045
         814      651.20   36.328363
         815      652.00   36.348682
         816      652.80   36.369003
         817      653.60   36.389325
         818      654.40   36.409648
         819      655.20   36.429973
         820      656.00   36.450299
         821      656.80   36.470627
         822      657.60   36.490956
         823      658.40   36.511286
         824      659.20   36.531618
         825      660.00   36.551951
         826      660.80   36.572285
         827      661.60   36.592621
         828      662.40   36.612958
         829      663.20   36.633297
         830      664.00   36.653637
         831      664.80   36.673978
         832      665.60   36.694321
         833      666.40   36.714665
         834      667.20   36.735011
         835      668.00   36.755358
         836      668.80   36.775706
         837      669.60   36.796056
         838      670.40   36.816407
         839      671.20   36.836760
         840      672.00   36.857114
         841      672.80   36.877469
         842      673.60   36.897826
         843      674.40   36.918184
         844      675.20   36.938544
         845      676.00   36.958905
         846      676.80   36.979267
         847      677.60   36.999631
         848      678.40   37.019996
         849      679.20   37.040363
         850      680.00   37.060731
         851      680.80   37.081101
         852      681.60   37.101472
         853      682.40   37.121844
         854      683.20   37.142218
         855      684.00   37.162593
         856      684.80   37.182970
         857      685.60   37.203348
         858      686.40   37.223728
         859      687.20   37.244109
         860      688.00   37.264491
         861      688.80   37.284875
         862      689.60   37.305261
         863      690.40   37.325647
         864      691.20   37.346035
         865      692.00   37.366425
         866      692.80   37.386816
         867      693.60   37.407209
         868      694.40   37.427603
         869      695.20   37.447998
         870      696.00   37.468395
         871      696.80   37.488793
         872      697.60   37.509193
         873      698.40   37.529594
         874      699.20   37.549997
         875      700.00   37.570401
         876      700.80   37.590807
         877      701.60   37.611214
         878      702.40   37.631622
         879      703.20   37.652032
         880      704.00   37.672443
         881      704.80   37.692856
         882      705.60   37.713271
         883      706.40   37.733686
         884      707.20   37.754104
         885      708.00   37.774522
         886      708.80   37.794943
         887      709.60   37.815364
         888      710.40   37.835787
         889      711.20   37.856212
         890      712.00   37.876638
         891      712.80   37.897066
         892      713.60   37.917495
         893      714.40   37.937925
         894      715.20   37.958357
         895      716.00   37.978790
         896      716.80   37.999225
         897      717.60   38.019662
         898      718.40   38.040100
         899      719.20   38.060539
         900      720.00   38.080980
         901      720.80   38.101422
         902      721.60   38.121866
         903      722.40   38.142311
         904      723.20   38.162758
         905      724.00   38.183206
         906      724.80   38.203656
         907      725.60   38.224107
         908      726.40   38.244559
         909      727.20   38.265014
         910      728.00   38.285469
         911      728.80   38.305926
         912      729.60   38.326385
         913      730.40   38.346845
         914      731.20   38.367307
         915      732.00   38.387770
         916      732.80   38.408234
         917      733.60   38.428701
         918      734.40   38.449168
         919      735.20   38.469637
         920      736.00   38.490108
         921      736.80   38.510580
         922      737.60   38.531053
         923      738.40   38.551528
         924      739.20   38.572005
         925      740.00   38.592483
         926      740.80   38.612962
         927      741.60   38.633444
         928      742.40   38.653926
         929      743.20   38.674410
         930      744.00   38.694896
         931      744.80   38.715383
         932      745.60   38.735871
         933      746.40   38.756361
         934      747.20   38.776853
         935      748.00   38.797346
         936      748.80   38.817840
         937      749.60   38.838336
         938      750.40   38.858834
         939      751.20   38.879333
         940      752.00   38.899834
         941      752.80   38.920336
         942      753.60   38.940839
         943      754.40   38.961344
         944      755.20   38.981851
         945      756.00   39.002359
         946      756.80   39.022869
         947      757.60   39.043380
         948      758.40   39.063892
         949      759.20   39.084407
         950      760.00   39.104922
         951      760.80   39.125439
         952      761.60   39.145958
         953      762.40   39.166478
         954      763.20   39.187000
         955      764.00   39.207523
         956      764.80   39.228048
         957      765.60   39.248574
         958      766.40   39.269102
         959      767.20   39.289631
         960      768.00   39.310162
         961      768.80   39.330694
         962      769.60   39.351228
         963      770.40   39.371763
         964      771.20   39.392300
         965      772.00   39.412838
         966      772.80   39.433378
         967      773.60   39.453919
         968      774.40   39.474462
         969      775.20   39.495007
         970      776.00   39.515553
         971      776.80   39.536100
         972      777.60   39.556649
         973      778.40   39.577199
         974      779.20   39.597751
         975      780.00   39.618305
         976      780.80   39.638860
         977      781.60   39.659416
         978      782.40   39.679974
         979      783.20   39.700534
         980      784.00   39.721095
         981      784.80   39.741657
         982      785.60   39.762221
         983      786.40   39.782787
         984      787.20   39.803354
         985      788.00   39.823923
         986      788.80   39.844493
         987      789.60   39.865064
         988      790.40   39.885638
         989      791.20   39.906213
         990      792.00   39.926789
         991      792.80   39.947367
         992      793.60   39.967946
         993      794.40   39.988527
         994      795.20   40.009110
         995      796.00   40.029694
         996      796.80   40.050279
         997      797.60   40.070867
         998      798.40   40.091455
         999      799.20   40.112045
        1000      800.00   40.132637
        1001      800.80   40.153230
        1002      801.60   40.173824
        1003      802.40   40.194421
        1004      803.20   40.215018
        1005      804.00   40.235617
        1006      804.80   40.256218
        1007      805.60   40.276820
        1008      806.40   40.297424
        1009      807.20   40.318029
        1010      808.00   40.338636
        1011      808.80   40.359244
        1012      809.60   40.379854
        1013      810.40   40.400465
        1014      811.20   40.421078
        1015      812.00   40.441692
        1016      812.80   40.462308
        1017      813.60   40.482925
        1018      814.40   40.503544
        1019      815.20   40.524164
        1020      816.00   40.544786
        1021      816.80   40.565410
        1022      817.60   40.586034
        1023      818.40   40.606661
        1024      819.20   40.627289
        1025      820.00   40.647918
        1026      820.80   40.668549
        1027      821.60   40.689181
        1028      822.40   40.709815
        1029      823.20   40.730451
        1030      824.00   40.751088
        1031      824.80   40.771726
        1032      825.60   40.792366
        1033      826.40   40.813007
        1034      827.20   40.833650
        1035      828.00   40.854295
        1036      828.80   40.874941
        1037      829.60   40.895588
        1038      830.40   40.916237
        1039      831.20   40.936888
        1040      832.00   40.957540
        1041      832.80   40.978193
        1042      833.60   40.998848
        1043      834.40   41.019505
        1044      835.20   41.040162
        1045      836.00   41.060822
        1046      836.80   41.081483
        1047      837.60   41.102145
        1048      838.40   41.122809
        1049      839.20   41.143475
        1050      840.00   41.164142
        1051      840.80   41.184810
        1052      841.60   41.205480
        1053      842.40   41.226152
        1054      843.20   41.246825
        1055      844.00   41.267499
