         x    flux_1    flux_2    flux_3    flux_4
    8.052647   22.098469   25.073979   26.197032   24.667999
    8.118652   22.083091   25.063937   26.196128   24.673490
    8.184658   22.067675   25.053851   26.195179   24.678939
    8.250663   22.052221   25.043721   26.194185   24.684345
    8.316668   22.036730   25.033548   26.193146   24.689709
    8.382673   22.021201   25.023332   26.192062   24.695030
    8.448679   22.005634   25.013072   26.190933   24.700310
    8.514684   21.990030   25.002768   26.189758   24.705546
    8.580689   21.974389   24.992421   26.188538   24.710741
    8.646695   21.958710   24.982031   26.187274   24.715893
    8.712700   21.942994   24.971597   26.185964   24.721002
    8.778705   21.927241   24.961120   26.184608   24.726069
    8.844711   21.911450   24.950599   26.183208   24.731094
    8.910716   21.895621   24.940035   26.181763   24.736076
    8.976721   21.879756   24.929428   26.180272   24.741016
    9.042726   21.863853   24.918777   26.178736   24.745913
    9.108732   21.847913   24.908083   26.177156   24.750768
    9.174737   21.831936   24.897345   26.175530   24.755580
    9.240742   21.815922   24.886565   26.173859   24.760350
    9.306748   21.799870   24.875741   26.172142   24.765077
    9.372753   21.783782   24.864873   26.170381   24.769762
    9.438758   21.767656   24.853963   26.168575   24.774404
    9.504764   21.751493   24.843009   26.166723   24.779004
    9.570769   21.735293   24.832012   26.164826   24.783561
    9.636774   21.719057   24.820971   26.162885   24.788076
    9.702779   21.702783   24.809888   26.160898   24.792548
    9.768785   21.686472   24.798761   26.158866   24.796977
    9.834790   21.670125   24.787591   26.156789   24.801364
    9.900795   21.653740   24.776378   26.154667   24.805709
    9.966801   21.637319   24.765122   26.152499   24.810010
   10.032806   21.620861   24.753823   26.150287   24.814270
   10.098811   21.604366   24.742480   26.148030   24.818486
   10.164817   21.587834   24.731095   26.145727   24.822660
   10.230822   21.571266   24.719666   26.143380   24.826792
   10.296827   21.554661   24.708195   26.140987   24.830880
   10.362832   21.538019   24.696680   26.138549   24.834926
   10.428838   21.521341   24.685122   26.136066   24.838930
   10.494843   21.504626   24.673521   26.133539   24.842891
   10.560848   21.487875   24.661877   26.130966   24.846809
   10.626854   21.471087   24.650191   26.128348   24.850684
   10.692859   21.454262   24.638461   26.125685   24.854517
   10.758864   21.437401   24.626688   26.122977   24.858307
   10.824870   21.420504   24.614872   26.120223   24.862054
   10.890875   21.403570   24.603014   26.117425   24.865759
   10.956880   21.386600   24.591112   26.114582   24.869421
   11.022886   21.369593   24.579168   26.111694   24.873040
   11.088891   21.352550   24.567181   26.108761   24.876617
   11.154896   21.335471   24.555151   26.105783   24.880151
   11.220901   21.318356   24.543078   26.102759   24.883642
   11.286907   21.301204   24.530962   26.099691   24.887090
   11.352912   21.284016   24.518803   26.096578   24.890496
   11.418917   21.266792   24.506602   26.093420   24.893859
   11.484923   21.249532   24.494358   26.090216   24.897179
   11.550928   21.232236   24.482071   26.086968   24.900456
   11.616933   21.214904   24.469741   26.083675   24.903691
   11.682939   21.197536   24.457368   26.080337   24.906882
   11.748944   21.180131   24.444953   26.076953   24.910031
   11.814949   21.162691   24.432495   26.073525   24.913138
   11.880954   21.145215   24.419995   26.070052   24.916201
   11.946960   21.127703   24.407452   26.066534   24.919222
   12.012965   21.110155   24.394866   26.062971   24.922199
   12.078970   21.092571   24.382237   26.059363   24.925134
   12.144976   21.074951   24.369566   26.055710   24.928027
   12.210981   21.057296   24.356853   26.052012   24.930876
   12.276986   21.039605   24.344097   26.048270   24.933682
   12.342992   21.021878   24.331298   26.044482   24.936446
   12.408997   21.004116   24.318456   26.040649   24.939167
   12.475002   20.986318   24.305573   26.036772   24.941845
   12.541007   20.968484   24.292646   26.032849   24.944480
   12.607013   20.950615   24.279677   26.028882   24.947072
   12.673018   20.932710   24.266666   26.024870   24.949621
   12.739023   20.914770   24.253612   26.020813   24.952128
   12.805029   20.896794   24.240516   26.016711   24.954592
   12.871034   20.878783   24.227377   26.012564   24.957012
   12.937039   20.860736   24.214196   26.008372   24.959390
   13.003045   20.842654   24.200973   26.004136   24.961725
   13.069050   20.824537   24.187707   25.999854   24.964017
   13.135055   20.806384   24.174399   25.995528   24.966266
   13.201060   20.788196   24.161048   25.991157   24.968473
   13.267066   20.769973   24.147655   25.986741   24.970636
   13.333071   20.751715   24.134220   25.982280   24.972756
   13.399076   20.733421   24.120743   25.977774   24.974834
   13.465082   20.715093   24.107223   25.973224   24.976868
   13.531087   20.696729   24.093661   25.968629   24.978860
   13.597092   20.678330   24.080057   25.963989   24.980809
   13.663098   20.659896   24.066410   25.959304   24.982715
   13.729103   20.641428   24.052722   25.954574   24.984577
   13.795108   20.622924   24.038991   25.949800   24.986397
   13.861114   20.604385   24.025218   25.944981   24.988174
   13.927119   20.585812   24.011403   25.940117   24.989908
   13.993124   20.567203   23.997546   25.935208   24.991599
   14.059129   20.548560   23.983647   25.930255   24.993247
   14.125135   20.529882   23.969705   25.925257   24.994852
   14.191140   20.511169   23.955722   25.920214   24.996414
   14.257145   20.492422   23.941696   25.915126   24.997934
   14.323151   20.473640   23.927629   25.909994   24.999410
   14.389156   20.454823   23.913519   25.904817   25.000843
   14.455161   20.435971   23.899368   25.899595   25.002233
   14.521167   20.417085   23.885174   25.894329   25.003580
   14.587172   20.398165   23.870939   25.889018   25.004885
   14.653177   20.379210   23.856661   25.883662   25.006146
   14.719182   20.360220   23.842342   25.878261   25.007364
   14.785188   20.341196   23.827981   25.872816   25.008539
   14.851193   20.322138   23.813578   25.867326   25.009672
   14.917198   20.303046   23.799133   25.861792   25.010761
   14.983204   20.283919   23.784646   25.856213   25.011807
   15.049209   20.264757   23.770117   25.850589   25.012810
   15.115214   20.245562   23.755546   25.844921   25.013770
   15.181220   20.226332   23.740934   25.839208   25.014688
   15.247225   20.207068   23.726280   25.833451   25.015562
   15.313230   20.187770   23.711584   25.827649   25.016393
   15.379235   20.168438   23.696847   25.821802   25.017181
   15.445241   20.149072   23.682067   25.815911   25.017926
   15.511246   20.129672   23.667246   25.809975   25.018628
   15.577251   20.110237   23.652384   25.803995   25.019287
   15.643257   20.090769   23.637479   25.797970   25.019903
   15.709262   20.071267   23.622533   25.791900   25.020476
   15.775267   20.051731   23.607546   25.785786   25.021006
   15.841273   20.032161   23.592517   25.779628   25.021493
   15.907278   20.012558   23.577446   25.773425   25.021936
   15.973283   19.992920   23.562333   25.767177   25.022337
   16.039288   19.973249   23.547180   25.760885   25.022695
   16.105294   19.953545   23.531984   25.754549   25.023010
   16.171299   19.933806   23.516747   25.748168   25.023281
   16.237304   19.914034   23.501469   25.741743   25.023510
   16.303310   19.894228   23.486149   25.735273   25.023695
   16.369315   19.874389   23.470787   25.728759   25.023838
   16.435320   19.854516   23.455385   25.722200   25.023937
   16.501326   19.834610   23.439940   25.715597   25.023994
   16.567331   19.814671   23.424455   25.708949   25.024007
   16.633336   19.794698   23.408928   25.702257   25.023977
   16.699342   19.774691   23.393359   25.695521   25.023904
   16.765347   19.754652   23.377749   25.688741   25.023788
   16.831352   19.734579   23.362098   25.681915   25.023630
   16.897357   19.714472   23.346406   25.675046   25.023428
   16.963363   19.694333   23.330672   25.668132   25.023182
   17.029368   19.674161   23.314898   25.661174   25.022894
   17.095373   19.653955   23.299081   25.654172   25.022563
   17.161379   19.633716   23.283224   25.647125   25.022189
   17.227384   19.613444   23.267325   25.640034   25.021772
   17.293389   19.593140   23.251386   25.632899   25.021311
   17.359395   19.572802   23.235405   25.625719   25.020808
   17.425400   19.552431   23.219383   25.618495   25.020261
   17.491405   19.532028   23.203319   25.611227   25.019672
   17.557410   19.511591   23.187215   25.603915   25.019039
   17.623416   19.491122   23.171070   25.596558   25.018363
   17.689421   19.470620   23.154883   25.589157   25.017644
   17.755426   19.450085   23.138656   25.581712   25.016883
   17.821432   19.429518   23.122387   25.574223   25.016078
   17.887437   19.408918   23.106078   25.566689   25.015230
   17.953442   19.388285   23.089727   25.559112   25.014338
   18.019448   19.367620   23.073335   25.551490   25.013404
   18.085453   19.346922   23.056903   25.543824   25.012427
   18.151458   19.326192   23.040430   25.536114   25.011407
   18.217463   19.305429   23.023915   25.528359   25.010344
   18.283469   19.284634   23.007360   25.520561   25.009237
   18.349474   19.263806   22.990764   25.512718   25.008088
   18.415479   19.242946   22.974127   25.504832   25.006895
   18.481485   19.222054   22.957449   25.496901   25.005660
   18.547490   19.201130   22.940730   25.488926   25.004381
   18.613495   19.180173   22.923971   25.480907   25.003059
   18.679501   19.159184   22.907171   25.472845   25.001694
   18.745506   19.138164   22.890330   25.464738   25.000287
   18.811511   19.117111   22.873448   25.456587   24.998836
   18.877516   19.096026   22.856526   25.448392   24.997342
   18.943522   19.074909   22.839563   25.440153   24.995805
   19.009527   19.053760   22.822559   25.431870   24.994225
   19.075532   19.032579   22.805514   25.423543   24.992602
   19.141538   19.011366   22.788429   25.415172   24.990935
   19.207543   18.990121   22.771304   25.406757   24.989226
   19.273548   18.968845   22.754137   25.398298   24.987474
   19.339554   18.947537   22.736930   25.389795   24.985679
   19.405559   18.926197   22.719683   25.381249   24.983840
   19.471564   18.904825   22.702395   25.372658   24.981959
   19.537570   18.883422   22.685066   25.364024   24.980034
   19.603575   18.861987   22.667697   25.355345   24.978067
   19.669580   18.840521   22.650288   25.346623   24.976056
   19.735585   18.819023   22.632838   25.337857   24.974003
   19.801591   18.797494   22.615347   25.329047   24.971906
   19.867596   18.775933   22.597817   25.320193   24.969766
   19.933601   18.754341   22.580245   25.311296   24.967584
   19.999607   18.732717   22.562634   25.302355   24.965358
   20.065612   18.711063   22.544982   25.293369   24.963089
   20.131617   18.689377   22.527289   25.284341   24.960778
   20.197623   18.667659   22.509557   25.275268   24.958423
   20.263628   18.645911   22.491784   25.266152   24.956025
   20.329633   18.624131   22.473971   25.256991   24.953584
   20.395638   18.602321   22.456117   25.247788   24.951101
   20.461644   18.580479   22.438223   25.238540   24.948574
   20.527649   18.558607   22.420289   25.229249   24.946004
   20.593654   18.536703   22.402315   25.219914   24.943391
   20.659660   18.514769   22.384301   25.210535   24.940735
   20.725665   18.492803   22.366246   25.201113   24.938036
   20.791670   18.470807   22.348152   25.191647   24.935295
   20.857676   18.448780   22.330017   25.182138   24.932510
   20.923681   18.426723   22.311842   25.172585   24.929682
   20.989686   18.404634   22.293627   25.162988   24.926811
   21.055691   18.382515   22.275372   25.153348   24.923898
   21.121697   18.360366   22.257077   25.143664   24.920941
   21.187702   18.338186   22.238741   25.133937   24.917941
   21.253707   18.315975   22.220366   25.124166   24.914898
   21.319713   18.293734   22.201951   25.114352   24.911813
   21.385718   18.271462   22.183496   25.104494   24.908684
   21.451723   18.249160   22.165001   25.094592   24.905513
   21.517729   18.226828   22.146466   25.084648   24.902298
   21.583734   18.204466   22.127891   25.074659   24.899041
   21.649739   18.182073   22.109276   25.064627   24.895740
   21.715744   18.159650   22.090622   25.054552   24.892397
   21.781750   18.137197   22.071927   25.044434   24.889010
   21.847755   18.114713   22.053193   25.034272   24.885581
   21.913760   18.092200   22.034419   25.024066   24.882109
   21.979766   18.069657   22.015605   25.013818   24.878594
   22.045771   18.047083   21.996751   25.003525   24.875036
   22.111776   18.024480   21.977858   24.993190   24.871435
   22.177782   18.001847   21.958925   24.982811   24.867791
   22.243787   17.979184   21.939952   24.972389   24.864104
   22.309792   17.956491   21.920939   24.961924   24.860374
   22.375798   17.933769   21.901887   24.951415   24.856602
   22.441803   17.911016   21.882795   24.940863   24.852786
   22.507808   17.888235   21.863663   24.930268   24.848928
   22.573813   17.865423   21.844492   24.919630   24.845027
   22.639819   17.842582   21.825281   24.908948   24.841083
   22.705824   17.819711   21.806031   24.898223   24.837095
   22.771829   17.796811   21.786741   24.887455   24.833066
   22.837835   17.773882   21.767412   24.876644   24.828993
   22.903840   17.750923   21.748043   24.865790   24.824877
   22.969845   17.727935   21.728634   24.854892   24.820719
   23.035851   17.704917   21.709186   24.843952   24.816517
   23.101856   17.681871   21.689699   24.832968   24.812273
